danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.485,0.297,1,-12.332,1,0.0794,0.777,0.0,0.124,0.622,154.639,audio_features,79a2ejVzj2SpXkpWdfv1Co,spotify:track:79a2ejVzj2SpXkpWdfv1Co,https://api.spotify.com/v1/tracks/79a2ejVzj2SpXkpWdfv1Co,https://api.spotify.com/v1/audio-analysis/79a2ejVzj2SpXkpWdfv1Co,175987,4
0.54,0.928,2,-6.252,1,0.0337,0.0887,1.11e-05,0.314,0.796,140.419,audio_features,10HDoLPz2bucGBkoNEjDHW,spotify:track:10HDoLPz2bucGBkoNEjDHW,https://api.spotify.com/v1/tracks/10HDoLPz2bucGBkoNEjDHW,https://api.spotify.com/v1/audio-analysis/10HDoLPz2bucGBkoNEjDHW,272333,4
0.583,0.572,1,-4.776,1,0.0366,0.738,0.0,0.266,0.684,113.998,audio_features,5Q2P43CJra0uRAogjHyJDK,spotify:track:5Q2P43CJra0uRAogjHyJDK,https://api.spotify.com/v1/tracks/5Q2P43CJra0uRAogjHyJDK,https://api.spotify.com/v1/audio-analysis/5Q2P43CJra0uRAogjHyJDK,173560,4
0.669,0.843,0,-3.766,1,0.0268,0.169,0.0,0.195,0.702,147.08,audio_features,0YWUHZPJVg4iujddsJDwhM,spotify:track:0YWUHZPJVg4iujddsJDwhM,https://api.spotify.com/v1/tracks/0YWUHZPJVg4iujddsJDwhM,https://api.spotify.com/v1/audio-analysis/0YWUHZPJVg4iujddsJDwhM,255400,4
0.282,0.101,7,-14.657,1,0.0315,0.934,5.05e-05,0.159,0.141,83.13,audio_features,0tXPhc8LvM4dPvoRwI66XQ,spotify:track:0tXPhc8LvM4dPvoRwI66XQ,https://api.spotify.com/v1/tracks/0tXPhc8LvM4dPvoRwI66XQ,https://api.spotify.com/v1/audio-analysis/0tXPhc8LvM4dPvoRwI66XQ,264827,4
0.725,0.571,1,-6.007,1,0.102,0.0183,0.0,0.0519,0.61,146.035,audio_features,1OjmlSFuzYflWjSMTCyTJv,spotify:track:1OjmlSFuzYflWjSMTCyTJv,https://api.spotify.com/v1/tracks/1OjmlSFuzYflWjSMTCyTJv,https://api.spotify.com/v1/audio-analysis/1OjmlSFuzYflWjSMTCyTJv,200880,4
0.452,0.366,0,-14.152,0,0.0415,0.833,0.0,0.0789,0.629,114.993,audio_features,4ricyQVd20UQde1jpXCSuJ,spotify:track:4ricyQVd20UQde1jpXCSuJ,https://api.spotify.com/v1/tracks/4ricyQVd20UQde1jpXCSuJ,https://api.spotify.com/v1/audio-analysis/4ricyQVd20UQde1jpXCSuJ,133867,4
0.583,0.712,3,-8.222,1,0.0538,0.263,1.02e-06,0.817,0.614,128.897,audio_features,15sxLiiChE5dCW3Y756oas,spotify:track:15sxLiiChE5dCW3Y756oas,https://api.spotify.com/v1/tracks/15sxLiiChE5dCW3Y756oas,https://api.spotify.com/v1/audio-analysis/15sxLiiChE5dCW3Y756oas,181267,4
0.748,0.778,0,-5.752,1,0.137,0.0501,0.0,0.284,0.777,95.989,audio_features,6YJdPrH3i2POzu7hdHIRrb,spotify:track:6YJdPrH3i2POzu7hdHIRrb,https://api.spotify.com/v1/tracks/6YJdPrH3i2POzu7hdHIRrb,https://api.spotify.com/v1/audio-analysis/6YJdPrH3i2POzu7hdHIRrb,170933,4
0.638,0.813,11,-3.849,1,0.0362,0.464,0.0,0.344,0.754,112.986,audio_features,78pn8k7RogKo2oxl0DyX6d,spotify:track:78pn8k7RogKo2oxl0DyX6d,https://api.spotify.com/v1/tracks/78pn8k7RogKo2oxl0DyX6d,https://api.spotify.com/v1/audio-analysis/78pn8k7RogKo2oxl0DyX6d,239587,4
