danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.629,0.515,0,-10.358,0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,audio_features,124NFj84ppZ5pAxTuVQYCQ,spotify:track:124NFj84ppZ5pAxTuVQYCQ,https://api.spotify.com/v1/tracks/124NFj84ppZ5pAxTuVQYCQ,https://api.spotify.com/v1/audio-analysis/124NFj84ppZ5pAxTuVQYCQ,277387,4
0.885,0.612,1,-6.651,1,0.0475,0.000542,0.000758,0.0751,0.496,104.974,audio_features,5xGIqIiGr1do6RRpIviwGG,spotify:track:5xGIqIiGr1do6RRpIviwGG,https://api.spotify.com/v1/tracks/5xGIqIiGr1do6RRpIviwGG,https://api.spotify.com/v1/audio-analysis/5xGIqIiGr1do6RRpIviwGG,189853,4
0.502,0.584,2,-7.891,0,0.0695,0.0933,5.36e-05,0.11,0.339,130.757,audio_features,0lVWFHXxyzCBrfusUpAcQc,spotify:track:0lVWFHXxyzCBrfusUpAcQc,https://api.spotify.com/v1/tracks/0lVWFHXxyzCBrfusUpAcQc,https://api.spotify.com/v1/audio-analysis/0lVWFHXxyzCBrfusUpAcQc,180001,4
0.472,0.409,1,-9.242,0,0.0552,0.266,1.85e-06,0.127,0.119,94.659,audio_features,3IzELwTnsPLZ60cHLB1Znh,spotify:track:3IzELwTnsPLZ60cHLB1Znh,https://api.spotify.com/v1/tracks/3IzELwTnsPLZ60cHLB1Znh,https://api.spotify.com/v1/audio-analysis/3IzELwTnsPLZ60cHLB1Znh,254493,4
0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,audio_features,0rbK15g3UsDTVy1EuwgKYz,spotify:track:0rbK15g3UsDTVy1EuwgKYz,https://api.spotify.com/v1/tracks/0rbK15g3UsDTVy1EuwgKYz,https://api.spotify.com/v1/audio-analysis/0rbK15g3UsDTVy1EuwgKYz,592920,4
0.707,0.427,2,-8.684,0,0.0936,0.000677,0.00129,0.111,0.719,80.035,audio_features,108wABClmebQtFnxfliTiO,spotify:track:108wABClmebQtFnxfliTiO,https://api.spotify.com/v1/tracks/108wABClmebQtFnxfliTiO,https://api.spotify.com/v1/audio-analysis/108wABClmebQtFnxfliTiO,196693,4
0.503,0.727,1,-5.456,1,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,audio_features,51ODNNDZm21HU7wI7cccRr,spotify:track:51ODNNDZm21HU7wI7cccRr,https://api.spotify.com/v1/tracks/51ODNNDZm21HU7wI7cccRr,https://api.spotify.com/v1/audio-analysis/51ODNNDZm21HU7wI7cccRr,255632,4
0.828,0.697,3,-8.256,0,0.0376,0.00886,0.755,0.0642,0.264,125.994,audio_features,2WUgOSGVqwNDyhoW0CWgzP,spotify:track:2WUgOSGVqwNDyhoW0CWgzP,https://api.spotify.com/v1/tracks/2WUgOSGVqwNDyhoW0CWgzP,https://api.spotify.com/v1/audio-analysis/2WUgOSGVqwNDyhoW0CWgzP,343693,4
0.684,0.741,6,-3.764,0,0.033,0.000166,0.000208,0.13,0.96,127.931,audio_features,7i52EZiZpUoLnAEcfwZcAL,spotify:track:7i52EZiZpUoLnAEcfwZcAL,https://api.spotify.com/v1/tracks/7i52EZiZpUoLnAEcfwZcAL,https://api.spotify.com/v1/audio-analysis/7i52EZiZpUoLnAEcfwZcAL,213908,4
0.561,0.836,9,-3.939,1,0.1,0.0525,0.0,0.136,0.517,127.923,audio_features,16Ewo7JVhuAUdEKozIQEgT,spotify:track:16Ewo7JVhuAUdEKozIQEgT,https://api.spotify.com/v1/tracks/16Ewo7JVhuAUdEKozIQEgT,https://api.spotify.com/v1/audio-analysis/16Ewo7JVhuAUdEKozIQEgT,226987,4
