,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
49,0.394,0.256,6,-10.72,1,0.0305,0.737,0.0,0.186,0.331,78.785,audio_features,76Tvx1cq3mkrfo0B5M696f,spotify:track:3szI9hDVbyOYU0yd77G35n,https://api.spotify.com/v1/tracks/76Tvx1cq3mkrfo0B5M696f,https://api.spotify.com/v1/audio-analysis/76Tvx1cq3mkrfo0B5M696f,127303,1
50,0.194,0.099,7,-19.334,1,0.0331,0.976,0.000591,0.082,0.129,83.825,audio_features,55YzKJipEDxzduTSrAWtMj,spotify:track:1DvjCIefxg1YsdG3ETROph,https://api.spotify.com/v1/tracks/55YzKJipEDxzduTSrAWtMj,https://api.spotify.com/v1/audio-analysis/55YzKJipEDxzduTSrAWtMj,172000,4
51,0.769,0.47,7,-15.188,1,0.0343,0.123,0.000226,0.0942,0.628,131.016,audio_features,44RFuMTt0MPsZRjL4NkQJy,spotify:track:2JwJqDEqC5IPl5bN3klNHD,https://api.spotify.com/v1/tracks/44RFuMTt0MPsZRjL4NkQJy,https://api.spotify.com/v1/audio-analysis/44RFuMTt0MPsZRjL4NkQJy,124580,3
52,0.485,0.857,2,-7.059,1,0.0442,0.534,0.0,0.347,0.963,148.749,audio_features,7taXf5odg9xCAZERYfyOkS,spotify:track:55YzKJipEDxzduTSrAWtMj,https://api.spotify.com/v1/tracks/7taXf5odg9xCAZERYfyOkS,https://api.spotify.com/v1/audio-analysis/7taXf5odg9xCAZERYfyOkS,182360,4
53,0.261,0.00697,4,-37.614,0,0.0332,0.881,0.452,0.211,0.245,113.148,audio_features,4lq0QcqQc1x14lKoC6U9QQ,spotify:track:6t0Fa4mTahx3sS3lYwAMwV,https://api.spotify.com/v1/tracks/4lq0QcqQc1x14lKoC6U9QQ,https://api.spotify.com/v1/audio-analysis/4lq0QcqQc1x14lKoC6U9QQ,139693,4
54,0.561,0.782,3,-7.444,1,0.0317,0.022,0.0,0.109,0.704,127.148,audio_features,3PIDciSFdrQxSQSihim3hN,spotify:track:0oxUZhytpftSGgBGDVlCMb,https://api.spotify.com/v1/tracks/3PIDciSFdrQxSQSihim3hN,https://api.spotify.com/v1/audio-analysis/3PIDciSFdrQxSQSihim3hN,153240,4
55,0.163,0.242,7,-14.778,1,0.0345,0.77,0.000371,0.11,0.108,79.344,audio_features,2Jb4TDYdPhc0KuzJY6KvZQ,spotify:track:2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/tracks/2Jb4TDYdPhc0KuzJY6KvZQ,https://api.spotify.com/v1/audio-analysis/2Jb4TDYdPhc0KuzJY6KvZQ,263827,4
56,0.269,0.0314,10,-23.411,1,0.0351,0.96,0.0678,0.113,0.176,135.49,audio_features,6cw1OgKsuEWQbmQb5Z4a3T,spotify:track:11Z7sdkpC5IaaydoIvDn74,https://api.spotify.com/v1/tracks/6cw1OgKsuEWQbmQb5Z4a3T,https://api.spotify.com/v1/audio-analysis/6cw1OgKsuEWQbmQb5Z4a3T,145000,3
57,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,audio_features,2EjXfH91m7f8HiJN1yQg97,spotify:track:44RFuMTt0MPsZRjL4NkQJy,https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97,https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97,126267,4
58,0.746,0.482,3,-10.424,1,0.0534,0.91,0.87,0.139,0.787,121.241,audio_features,7GLQ0fBEq1W9QnKJ5TkGL3,spotify:track:6JzICCKjjIzQ5M2YqzLhWF,https://api.spotify.com/v1/tracks/7GLQ0fBEq1W9QnKJ5TkGL3,https://api.spotify.com/v1/audio-analysis/7GLQ0fBEq1W9QnKJ5TkGL3,146600,4
