,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
59,0.653,0.734,6,-4.562,0,0.234,0.197,0.0,0.455,0.588,150.035,audio_features,3TAoEpF3KdSRX5qqSZl92F,spotify:track:6yuG9MJgec1f18LA7fWJW0,https://api.spotify.com/v1/tracks/3TAoEpF3KdSRX5qqSZl92F,https://api.spotify.com/v1/audio-analysis/3TAoEpF3KdSRX5qqSZl92F,159413,4
60,0.524,0.268,4,-6.225,1,0.0383,0.512,0.0,0.0514,0.734,60.087,audio_features,6FDARjuebXcy08AMLLftRk,spotify:track:4bpqcGVSveDZ5E3rgr9v2y,https://api.spotify.com/v1/tracks/6FDARjuebXcy08AMLLftRk,https://api.spotify.com/v1/audio-analysis/6FDARjuebXcy08AMLLftRk,51827,4
61,0.381,0.383,2,-10.406,1,0.0688,0.213,0.00131,0.347,0.536,170.349,audio_features,0mOZVrJKspRSr2gySLuoiT,spotify:track:4LGa16pPX47ZQBdWpbs3XJ,https://api.spotify.com/v1/tracks/0mOZVrJKspRSr2gySLuoiT,https://api.spotify.com/v1/audio-analysis/0mOZVrJKspRSr2gySLuoiT,226133,4
62,0.288,0.898,2,-5.204,1,0.0663,0.00176,0.000117,0.313,0.53,124.698,audio_features,2AXTRWWGTwgp0Ud8cPzT5S,spotify:track:2h4IisMvnpHoSbum5weQAM,https://api.spotify.com/v1/tracks/2AXTRWWGTwgp0Ud8cPzT5S,https://api.spotify.com/v1/audio-analysis/2AXTRWWGTwgp0Ud8cPzT5S,232427,4
63,0.627,0.567,11,-7.524,0,0.0274,0.326,0.0465,0.168,0.649,128.007,audio_features,0bdXRB25qdrl7LqTl8n5nV,spotify:track:7FqTiv9gX26hiCjoRyBTdd,https://api.spotify.com/v1/tracks/0bdXRB25qdrl7LqTl8n5nV,https://api.spotify.com/v1/audio-analysis/0bdXRB25qdrl7LqTl8n5nV,244413,4
64,0.626,0.667,9,-6.484,1,0.0739,0.17,0.0,0.112,0.855,89.233,audio_features,2EKzS2s2VKnbQ7jxyk2WHi,spotify:track:4RIy1w2Nbf2V2DRPrIGKVx,https://api.spotify.com/v1/tracks/2EKzS2s2VKnbQ7jxyk2WHi,https://api.spotify.com/v1/audio-analysis/2EKzS2s2VKnbQ7jxyk2WHi,188467,4
65,0.726,0.669,9,-10.841,1,0.038,0.614,0.0,0.202,0.904,124.768,audio_features,6sg1ZfXFu2gIiSkHAgQRlX,spotify:track:4ldJUVBGt7s6H9LTbzcdSM,https://api.spotify.com/v1/tracks/6sg1ZfXFu2gIiSkHAgQRlX,https://api.spotify.com/v1/audio-analysis/6sg1ZfXFu2gIiSkHAgQRlX,138427,4
66,0.139,0.284,5,-12.104,1,0.0349,0.925,0.0277,0.0921,0.18,82.86,audio_features,12n1NGPWQU54bAGP6IjKwk,spotify:track:1cF0yhtbzcfVBPQLeGh0ec,https://api.spotify.com/v1/tracks/12n1NGPWQU54bAGP6IjKwk,https://api.spotify.com/v1/audio-analysis/12n1NGPWQU54bAGP6IjKwk,159293,1
67,0.534,0.32,4,-11.845,1,0.0475,0.991,0.463,0.131,0.659,138.728,audio_features,39sX8zIABMzPBY0cDblp91,spotify:track:1lRTGll82gUpT4rN4ccLrl,https://api.spotify.com/v1/tracks/39sX8zIABMzPBY0cDblp91,https://api.spotify.com/v1/audio-analysis/39sX8zIABMzPBY0cDblp91,177533,3
68,0.689,0.226,2,-11.527,1,0.044,0.939,3.23e-06,0.108,0.513,127.044,audio_features,2lO43epQ8yAaWUsZrKsmOm,spotify:track:3ARmaJqtqXmuSeZVzWLmhx,https://api.spotify.com/v1/tracks/2lO43epQ8yAaWUsZrKsmOm,https://api.spotify.com/v1/audio-analysis/2lO43epQ8yAaWUsZrKsmOm,110173,4
69,0.772,0.782,3,-9.246,1,0.0283,0.434,0.000889,0.0639,0.96,119.293,audio_features,7ky1pctLd0JGWaXjCIbbiN,spotify:track:5uQ5VI28ji1cGgR3qiGVJz,https://api.spotify.com/v1/tracks/7ky1pctLd0JGWaXjCIbbiN,https://api.spotify.com/v1/audio-analysis/7ky1pctLd0JGWaXjCIbbiN,184000,4
70,0.424,0.215,9,-14.354,0,0.0349,0.88,0.287,0.342,0.223,115.168,audio_features,5ilB7bp78Nm4LiXYon8OH1,spotify:track:5AOPlv0C5Nsy6KBCy4idd7,https://api.spotify.com/v1/tracks/5ilB7bp78Nm4LiXYon8OH1,https://api.spotify.com/v1/audio-analysis/5ilB7bp78Nm4LiXYon8OH1,198467,3
71,0.497,0.611,11,-7.293,1,0.036,0.135,0.0,0.0951,0.885,96.922,audio_features,0gF8DDkQ4AZEEgPsWL95n6,spotify:track:3y4bj5DAvXyqIi5vs08O3f,https://api.spotify.com/v1/tracks/0gF8DDkQ4AZEEgPsWL95n6,https://api.spotify.com/v1/audio-analysis/0gF8DDkQ4AZEEgPsWL95n6,157547,4
72,0.871,0.56,11,-9.214,1,0.0356,0.801,0.000382,0.124,0.939,101.421,audio_features,7FqTiv9gX26hiCjoRyBTdd,spotify:track:619PPbpDDOT8SC0Kg33wfe,https://api.spotify.com/v1/tracks/7FqTiv9gX26hiCjoRyBTdd,https://api.spotify.com/v1/audio-analysis/7FqTiv9gX26hiCjoRyBTdd,82907,4
